,Año,Periodo,Provincia,Recuento
0,2023,Año,A Coruña,23
1,2023,Año,Álava,3
2,2023,Año,Albacete,9
3,2023,Año,Alicante,31
4,2023,Año,Almería,9
5,2023,Año,Asturias,22
6,2023,Año,Ávila,3
7,2023,Año,Badajoz,11
8,2023,Año,Baleares,15
9,2023,Año,Barcelona,70
10,2023,Año,Burgos,6
11,2023,Año,Cáceres,10
12,2023,Año,Cádiz,23
13,2023,Año,Cantabria,14
14,2023,Año,Castellón,6
15,2023,Año,Ceuta,1
16,2023,Año,Ciudad Real,6
17,2023,Año,Córdoba,13
18,2023,Año,Cuenca,6
19,2023,Año,Girona,7
20,2023,Año,Granada,17
21,2023,Año,Guadalajara,3
22,2023,Año,Guipúzcoa,16
23,2023,Año,Huelva,8
24,2023,Año,Huesca,7
25,2023,Año,Jaén,12
26,2023,Año,La Rioja,5
27,2023,Año,Las Palmas,27
28,2023,Año,León,7
29,2023,Año,Lleida,8
30,2023,Año,Lugo,12
31,2023,Año,Madrid,109
32,2023,Año,Málaga,28
33,2023,Año,Murcia,28
34,2023,Año,Navarra,9
35,2023,Año,Orense,2
36,2023,Año,Palencia,5
37,2023,Año,Pontevedra,16
38,2023,Año,Salamanca,8
39,2023,Año,Santa Cruz De Tenerife,22
40,2023,Año,Segovia,5
41,2023,Año,Sevilla,25
42,2023,Año,Soria,5
43,2023,Año,Tarragona,5
44,2023,Año,Teruel,5
45,2023,Año,Toledo,6
46,2023,Año,Valencia,38
47,2023,Año,Valladolid,6
48,2023,Año,Vizcaya,20
49,2023,Año,Zamora,4
50,2023,Año,Zaragoza,16
